# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
1L1	2L	1	-4 0 0 -1 0 0 0 1
1L2	2H2	1	1 0 0 -1 0 -1 0 1
1L2	2K	-1	-2 1 0 1 0 -1
1L2	2L	-1	-2 0 1 -1
1N	2K	-1	-4 0 1
1N	2L	1	-4 0 0 0 1
#
f5
6P	5D	-1	0 1 0 -1
6P	5F	-1	-1 0 -1
6P	5G	1	-1 1 -1 -1 1
6F	5S	1	0 1 -1 -1
6F	5D	-1	1 -1 0 -1
6F	5F	1	1 0 -1
6F	5G	-1	1 1 -1 -1
6F	5I	-1	1 -1 -1 -1 0 1
6H	5D	-1	1 -1 0 -1
6H	5F	-1	-1 0 -1
6H	5G	-1	-1 1 0 -1 -1 1
6H	5I	1	0 -1 -1 1 -1 1
4S	5F	1	-2
4S	3F1	1	2 1 -2
4S	3F2	1	-2 3 -2
4P1	5D	-1	-2 -1 0 -1
4P1	5F	1	-3 2 -1
4P1	5G	1	-3 -1 -1 -1 1
4P1	3D1	1	-2 1 1 -2
4P1	3D2	-1	-1 -2 1 -2 1
4P1	3F2	-1	-3 -1 1
4P1	3F3	1	-3 -2 0 0 1
4P1	3G1	-1	-3 1 0 -2 1
4P1	3G2	1	-3 0 1 -2 0 1
4P2	5D	1	-2 -1 0 -1 1
4P2	5G	1	-1 -1 1 -1
4P2	3D1	-1	-2 1 -1 -2 1
4P2	3D2	-1	-1 -2 -1 -2 0 0 2
4P2	3F3	1	-3 -2
4P2	3F4	1	-1 -1 -1 0 0 1
4P2	3G1	-1	-1 1 0 -2
4P2	3G2	-1	-3 0 -1 -2 1 1
4P2	3G3	1	-1 0 -1
4D1	5D	1	-1 0 0 -1
4D1	5F	1	-5
4D1	5G	-1	-5 1 0 -1 1
4D1	3P1	-1	2 2 -2 -1
4D1	3P2	-1	-2 0 -2 -1
4D1	3P3	1	-2 0 -2 -1 1
4D1	3D1	1	-1 0 -1 -2
4D1	3D2	-1	-2 1 -1 -2 1
4D1	3F1	-1	3 -1 -2
4D1	3F2	-1	-5 -3 -2
4D1	3F3	-1	-3 -2 -1 0 1
4D1	3F4	1	-3 -3 -2 0 1 1
4D1	3G1	-1	-5 1 -1 -2 1
4D1	3G2	-1	-3 0 -2 -2 0 1
4D1	3G3	-1	-3 0 -2 0 1
4D1	3H1	-1	3 -1 -2 -1 1
4D1	3H2	-1	-1 -3 -2 -1 1
4D1	3H3	1	-2 -3 -2 0 1 1
